Flow Size,fecmp,letflow,conweave
1.8K,1.010885007608029,1.009639967089793,1.0089303421262918
3.5K,1.0161674851665845,1.0152818369905952,1.0120905035971188
4.6K,1.0174450806451638,1.0182961902523144,1.0156689432454027
5.5K,1.0220836640292115,1.0208917003604443,1.01712171382893
6.3K,1.0225678350829113,1.02192644256386,1.0216374520460367
7.2K,1.024511223371883,1.023928210311866,1.0225616722621935
8.6K,1.0264060915867945,1.024952313479621,1.0224321694644274
16K,1.0401787872793689,1.0389427143081016,1.037003462829736
31K,1.0603334586122959,1.0545315123021493,1.0560408952837759
2.0M,1.2875037608397983,1.3046491145588426,1.1927294245524285
