Flow Size,fecmp,letflow,conweave
1.8K,1.022812022487499,1.0236924387496433,1.0164379858865022
3.5K,1.026439468350912,1.0292927555618103,1.020615499852982
4.6K,1.027130258189895,1.028412088144188,1.0245103734744887
5.5K,1.0334698278734011,1.0331049753625172,1.0269644972067007
6.3K,1.031229995835644,1.0358618105026032,1.0287631329020832
7.2K,1.0345194669628015,1.0366683680653368,1.029206209380977
8.6K,1.036679747327499,1.0358739031258752,1.028491414289912
16K,1.048780802332038,1.0480643565192886,1.0418083754777996
31K,1.0681217379233778,1.0635172518654106,1.062054913983234
2.0M,1.5606305413659047,1.5850938856821017,1.388978357835931
