Flow Size,fecmp,letflow,conweave
1.8K,1.1938047470750197,1.1834394337587673,1.1279965496750255
3.5K,1.2119635805230582,1.2021677458206041,1.1326241299907178
4.6K,1.2093659532002745,1.202372608304872,1.14148363416899
5.5K,1.2011907398485875,1.200927488765053,1.1404755792796135
6.3K,1.2280329731589799,1.2162796440769323,1.1523343390271055
7.2K,1.2363148227804566,1.2230708880100678,1.1494663398328684
8.6K,1.238046470487012,1.2362363304566697,1.1512483175487487
16K,1.2586002615278704,1.251757023188929,1.1889561615598885
31K,1.3052022832071604,1.3065537713463962,1.2499820330486435
2.0M,2.7207568926359307,2.7194713445982406,2.188682461938359
