Flow Size,fecmp,letflow,conweave
1.8K,3.1293642214965613,2.9941412205093827,1.7201840726208668
3.5K,3.144206474675186,2.982976270107236,1.727901239608963
4.6K,3.1426115751806645,3.005275733243967,1.73438277049943
5.5K,3.1288182163702003,2.9914093579088563,1.7684218028862189
6.3K,3.137901436114794,3.0068713551370627,1.7846052517124458
7.2K,3.1055888431876606,3.0069191400804325,1.791956899647529
8.6K,3.11652851386091,3.0053926367292276,1.813709670146972
16K,3.1376751584213247,3.0309077138069704,1.8788126348340681
31K,3.1249242843246305,3.0208336655495973,2.0182203318481173
2.0M,9.95938057875357,9.794317279672955,4.570947593934936
